source,source_name,target,target_name,cost,name,source_location_type_id,target_location_type,,
125,Tiền Trung,127,Hải Phòng,40,QL 5,Chưa xác định,TP,1,6
127,Hải Phòng,128,Đồ Sơn,20,ĐT 353,TP,Điểm Du Lịch,13,1
127,Hải Phòng,124,An Lão,15,ĐT 360,TP,Thị Trấn,2,1
124,An Lão,129,Thái Bình (mồ hôi rơi),50,QL 10,Thị Trấn,TP,1,2
189,Thái Bình,130,Đồng Châu,30,QL 39B,TP,Điểm Du Lịch,13,1
189,Thái Bình,131,Nam Định,23,QL 10,TP,TP,1,1
131,Nam Định,132,Thịnh Long,52,???,TP,Điểm Du Lịch,13,1
131,Nam Định,25,Phủ Lý,32,QL 21,TP,TP,1,1
131,Nam Định,24,Ninh Bình,30,QL 10,TP,TP,1,1
59,Đoan Hùng,133,Làng Đát,34,QL 70,Huyện,Chưa xác định,6,5
133,Làng Đát,134,Yên Bái,8,QL 37,Chưa xác định,TP,1,6
133,Làng Đát,135,Khánh Hòa,64,QL 70,Chưa xác định,Xã,8,6
135,Khánh Hòa,136,Lục Yên,25,ĐT 152,Xã,Huyện,5,8
136,Lục Yên,61,Vĩnh Tuy,20,ĐT 152,Huyện,Thị Trấn,2,5
135,Khánh Hòa,137,Phố Ràng,26,QL 70,Xã,Thị Trấn,2,8
137,Phố Ràng,138,Yên Bình,40,QL 279,Thị Trấn,Xã,8,2
138,Yên Bình,62,Việt Quang,31,QL 279,Xã,Thị Trấn,2,8
137,Phố Ràng,139,Bắc Ngầm,36,QL 70,Thị Trấn,Thôn,14,2
139,Bắc Ngầm,140,Lào Cai,40,QL 70,Thôn,TP,1,14
139,Bắc Ngầm,141,Bắc Hà,26,ĐT 153,Thôn,Huyện,5,14
141,Bắc Hà,78,Lũng Phìn,10,ĐT 153,Huyện,Xã,8,5
78,Lũng Phìn,142,Xín Mần,40,???,Xã,Huyện,5,8
142,Xín Mần,143,Hoàng Su Phì,40,ĐT 177,Huyện,Huyện,5,5
143,Hoàng Su Phì,63,Tân Quang,60,ĐT 177,Huyện,Xã,8,5
78,Lũng Phìn,144,Si Ma Cai,18,ĐT 153,Xã,Huyện,5,8
144,Si Ma Cai,145,Pha Long,20,ĐT 153,Huyện,Xã,8,5
145,Pha Long,146,Mường Khương,25,ĐT 153,Xã,Huyện,5,8
146,Mường Khương,140,Lào Cai,53,QL 4D,Huyện,TP,1,5
140,Lào Cai,147,Sa Pa ,37,QL 4D,TP,Thị Trấn,2,1
147,Sa Pa ,148,Bản Xèo,28,ĐT 155,Thị Trấn,Xã,8,2
148,Bản Xèo,149,Y Tý,32,ĐT 158,Xã,Xã,8,8
149,Y Tý,150,A Mú Sung,36,ĐT 158,Xã,Xã,8,8
150,A Mú Sung,151,Bát Xát,43,ĐT 156,Xã,Huyện,5,8
151,Bát Xát,140,Lào Cai,19,ĐT 156,Huyện,TP,1,5
147,Sa Pa ,152,Bình Lư,40,QL 4D,Thị Trấn,Xã,8,2
152,Bình Lư,153,Tân Uyên,30,QL 32,Xã,Huyện,5,8
152,Bình Lư,51,Lai Châu,34,QL 4D,Xã,TP,1,8
153,Tân Uyên,154,Than Uyên,30,QL 32,Huyện,Thị Trấn,2,5
154,Than Uyên,155,Văn Bàn,58,QL 279,Thị Trấn,Huyện,5,2
155,Văn Bàn,137,Phố Ràng,36,QL 279,Huyện,Thị Trấn,2,5
154,Than Uyên,156,Quỳnh Nhai,68,QL 279,Thị Trấn,Huyện,5,2
156,Quỳnh Nhai,157,Minh Thắng,27,QL 279,Huyện,Xã,8,5
156,Quỳnh Nhai,158,Sơn La,58,ĐT 107,Huyện,TP,1,5
157,Minh Thắng,159,Tuần Giáo,7,QL 279,Xã,Thị Trấn,2,8
157,Minh Thắng,160,Mường Lay,97,QL 6,Xã,Thị Trấn,2,8
159,Tuần Giáo,161,Thuận Châu,50,QL 6,Thị Trấn,Thị Trấn,2,2
161,Thuận Châu,158,Sơn La,28,QL 6,Thị Trấn,TP,1,2
160,Mường Lay,162,Mường Chà,43,QL 12,Thị Trấn,Thị Trấn,2,2
160,Mường Lay,163,Sìn Hồ,65,QL 12,Thị Trấn,Huyện,5,2
160,Mường Lay,164,Mường Tè,98,ĐT 127,Thị Trấn,Thị Trấn,2,2
163,Sìn Hồ,51,Lai Châu,60,QL 4D,Huyện,TP,1,5
51,Lai Châu,165,Phong Thổ,30,QL 4D,TP,Thị Trấn,2,1
165,Phong Thổ,166,CK. Ma Lù Thàng,20,QL 12,Thị Trấn,Cửa Khẩu,12,2
165,Phong Thổ,167,Pa Tần,14,QL 12,Thị Trấn,Xã,8,2
167,Pa Tần,166,CK. Ma Lù Thàng,21,???,Xã,Cửa Khẩu,12,8
167,Pa Tần,160,Mường Lay,60,QL 12,Xã,Thị Trấn,2,8
167,Pa Tần,164,Mường Tè,70,M Tè - Pa Tần,Xã,Thị Trấn,2,8
